t = 1.5
             x             y          prec          calc          diff    n loc
  0.000000e+00  4.000000e+00  9.112500e+01  9.112500e+01  5.684342e-14    0 border
  1.250000e+00  4.000000e+00  9.237500e+01  9.237500e+01  4.547474e-13    1 border
  2.500000e+00  4.000000e+00  9.362500e+01  9.362500e+01  2.842171e-13    2 border
  3.750000e+00  4.000000e+00  9.487500e+01  9.487500e+01  5.684342e-13    3 border
  5.000000e+00  4.000000e+00  9.612500e+01  9.612500e+01  5.684342e-14    4 border
  0.000000e+00  5.000000e+00  9.112500e+01  9.112500e+01  1.122658e-12    5 border
  1.250000e+00  5.000000e+00  9.237500e+01  9.237500e+01  1.136868e-13    6 inner
  2.500000e+00  5.000000e+00  9.362500e+01  9.362500e+01  3.836931e-13    7 inner
  3.750000e+00  5.000000e+00  9.487500e+01  9.487500e+01  1.847411e-13    8 inner
  5.000000e+00  5.000000e+00  9.612500e+01  9.612500e+01  1.023182e-12    9 border
  0.000000e+00  6.000000e+00  9.112500e+01  9.112500e+01  4.547474e-13   10 border
  1.250000e+00  6.000000e+00  9.237500e+01  9.237500e+01  9.947598e-14   11 inner
  2.500000e+00  6.000000e+00  9.362500e+01  9.362500e+01  1.421085e-14   12 inner
  3.750000e+00  6.000000e+00  9.487500e+01  9.487500e+01  2.842171e-14   13 inner
  5.000000e+00  6.000000e+00  9.612500e+01  9.612500e+01  2.700062e-13   14 border
  0.000000e+00  7.000000e+00  9.112500e+01  9.112500e+01  7.105427e-13   15 border
  1.250000e+00  7.000000e+00  9.237500e+01  9.237500e+01  0.000000e+00   16 inner
  2.500000e+00  7.000000e+00  9.362500e+01  9.362500e+01  5.684342e-14   17 inner
  3.750000e+00  7.000000e+00  9.487500e+01  9.487500e+01  9.947598e-14   18 inner
  5.000000e+00  7.000000e+00  9.612500e+01  9.612500e+01  1.421085e-14   19 border
  0.000000e+00  8.000000e+00  9.112500e+01  9.112500e+01  0.000000e+00   20 border
  1.250000e+00  8.000000e+00  9.237500e+01  9.237500e+01  2.842171e-14   21 border
  2.500000e+00  8.000000e+00  9.362500e+01  9.362500e+01  1.421085e-13   22 border
  3.750000e+00  8.000000e+00  9.487500e+01  9.487500e+01  0.000000e+00   23 border
  5.000000e+00  8.000000e+00  9.612500e+01  9.612500e+01  4.263256e-14   24 border
t = 5.000000
             x             y          prec          calc          diff    n loc
  0.000000e+00  4.000000e+00  1.250000e+02  1.250000e+02  7.105427e-14    0 border
  1.250000e+00  4.000000e+00  1.262500e+02  1.262500e+02  9.947598e-14    1 border
  2.500000e+00  4.000000e+00  1.275000e+02  1.275000e+02  2.415845e-13    2 border
  3.750000e+00  4.000000e+00  1.287500e+02  1.287500e+02  8.526513e-13    3 border
  5.000000e+00  4.000000e+00  1.300000e+02  1.300000e+02  1.136868e-13    4 border
  0.000000e+00  5.000000e+00  1.250000e+02  1.250000e+02  5.826450e-13    5 border
  1.250000e+00  5.000000e+00  1.262500e+02  1.262500e+02  3.268497e-13    6 inner
  2.500000e+00  5.000000e+00  1.275000e+02  1.275000e+02  9.947598e-14    7 inner
  3.750000e+00  5.000000e+00  1.287500e+02  1.287500e+02  2.842171e-13    8 inner
  5.000000e+00  5.000000e+00  1.300000e+02  1.300000e+02  1.165290e-12    9 border
  0.000000e+00  6.000000e+00  1.250000e+02  1.250000e+02  8.526513e-14   10 border
  1.250000e+00  6.000000e+00  1.262500e+02  1.262500e+02  9.947598e-14   11 inner
  2.500000e+00  6.000000e+00  1.275000e+02  1.275000e+02  3.126388e-13   12 inner
  3.750000e+00  6.000000e+00  1.287500e+02  1.287500e+02  2.557954e-13   13 inner
  5.000000e+00  6.000000e+00  1.300000e+02  1.300000e+02  3.694822e-13   14 border
  0.000000e+00  7.000000e+00  1.250000e+02  1.250000e+02  4.689582e-13   15 border
  1.250000e+00  7.000000e+00  1.262500e+02  1.262500e+02  9.947598e-14   16 inner
  2.500000e+00  7.000000e+00  1.275000e+02  1.275000e+02  2.131628e-13   17 inner
  3.750000e+00  7.000000e+00  1.287500e+02  1.287500e+02  1.705303e-13   18 inner
  5.000000e+00  7.000000e+00  1.300000e+02  1.300000e+02  1.421085e-13   19 border
  0.000000e+00  8.000000e+00  1.250000e+02  1.250000e+02  1.421085e-14   20 border
  1.250000e+00  8.000000e+00  1.262500e+02  1.262500e+02  5.684342e-13   21 border
  2.500000e+00  8.000000e+00  1.275000e+02  1.275000e+02  3.552714e-13   22 border
  3.750000e+00  8.000000e+00  1.287500e+02  1.287500e+02  3.410605e-13   23 border
  5.000000e+00  8.000000e+00  1.300000e+02  1.300000e+02  2.842171e-14   24 border
